"Alias","Original"
"gC1Q-R","C1QBP"
"gC1qR","C1QBP"
"p32","C1QBP"
"CASP3","CASP3"
"CPP32","CASP3"
"CPP32B","CASP3"
"SCA-1","CASP3"
"CASP9","CASP9"
"APAF-3","CASP9"
"APAF3","CASP9"
"ICE-LAP6","CASP9"
"MCH6","CASP9"
"PPP1R56","CASP9"
"CPT1C","CPT1C"
"CATL1","CPT1C"
"CPT I-C","CPT1C"
"CPT1-B","CPT1C"
"CPT1P","CPT1C"
"CPTI-B","CPT1C"
"CPTIC","CPT1C"
"SPG73","CPT1C"
"CBR3","CBR3"
"HEL-S-25","CBR3"
"SDR21C2","CBR3"
"hCBR3","CBR3"
"HCCS","HCCS"
"CCHL","HCCS"
"LSDMCA1","HCCS"
"MCOPS7","HCCS"
"MLS","HCCS"
"CHDH","CHDH"
"CHPT1","CHPT1"
"CPT","CHPT1"
"CPT1","CPT2"
"NDUFAF1","NDUFAF1"
"CGI-65","NDUFAF1"
"CGI65","NDUFAF1"
"CIA30","NDUFAF1"
"MC1DN11","NDUFAF1"
"CLK1","COQ7"
"CLK","CLK1"
"CLK/STY","CLK1"
"STY","CLK1"
"CLPB","CLPB"
"ANKCLB","CLPB"
"ANKCLP","CLPB"
"HSP78","CLPB"
"MEGCANN","CLPB"
"MGCA7","CLPB"
"MGCA7A","CLPB"
"SCN9","CLPB"
"SKD3","CLPB"
"CLPP","CLPP"
"DFNB81","CLPP"
"PRLTS3","CLPP"
"CLPX","CLPX"
"EPP2","CLPX"
"CLYBL","CLYBL"
"CLB","CLYBL"
"GNAQ","GNAQ"
"CMAL","GNAQ"
"CMC1","GNAQ"
"G-ALPHA-q","GNAQ"
"GAQ","GNAQ"
"SWS","GNAQ"
"CMC2","CMC2"
"2310061C15Rik","CMC2"
"C16orf61","CMC2"
"DC13","CMC2"
"CMC4","CMC4"
"C6.1B","CMC4"
"MTCP1","CMC4"
"MTCP1B","CMC4"
"MTCP1NB","CMC4"
"p8","CMC4"
"p8MTCP1","CMC4"
"CMPK2","CMPK2"
"NDK","CMPK2"
"TMPK2","CMPK2"
"TYKi","CMPK2"
"UMP-CMPK2","CMPK2"
"COA1","COA1"
"C7orf44","COA1"
"MITRAC15","COA1"
"COA4","COA4"
"CHCHD8","COA4"
"CMC3","COA4"
"E2IG2","COA4"
"COA5","COA5"
"6330578E17Rik","COA5"
"C2orf64","COA5"
"CEMCOX3","COA5"
"MC4DN9","COA5"
"Pet191","COA5"
"COA6","COA6"
"C1orf31","COA6"
"CEMCOX4","COA6"
"MC4DN13","COA6"
"COA7","COA7"
"C1orf163","COA7"
"RESA1","COA7"
"SCAN3","COA7"
"SELRC1","COA7"
"COA8","COA8"
"APOP","COA8"
"APOP1","COA8"
"APOPT1","COA8"
"C14orf153","COA8"
"MC4DN17","COA8"
"COQ3","COQ3"
"DHHBMT","COQ3"
"DHHBMTASE","COQ3"
"UG0215E05","COQ3"
"bA9819.1","COQ3"
"COQ4","COQ4"
"CGI-92","COQ4"
"COQ10D7","COQ4"
"SPAX10","COQ4"
"COQ5","COQ5"
"COQ10D9","COQ5"
"COQ6","COQ6"
"CGI-10","COQ6"
"CGI10","COQ6"
"COQ10D6","COQ6"
"COQ7","COQ7"
"CAT5","COQ7"
"CLK-1","COQ7"
"COQ10D8","COQ7"
"HMNR9","COQ7"
"COQ8A","COQ8A"
"ADCK3","COQ8A"
"ARCA2","COQ8A"
"CABC1","COQ8A"
"COQ10D4","COQ8A"
"COQ8","COQ8A"
"SCAR9","COQ8A"
"COQ9","COQ9"
"C16orf49","COQ9"
"COQ10D5","COQ9"
"COX10","COX10"
"MC4DN3","COX10"
"COX11","COX11"
"COX11P","COX11"
"MC4DN23","COX11"
"COX14","COX14"
"C12orf62","COX14"
"MC4DN10","COX14"
"PCAG1","COX14"
"COX15","COX15"
"CEMCOX2","COX15"
"HAS","COX15"
"MC4DN6","COX15"
"COX16","COX16"
"C14orf112","COX16"
"HSPC203","COX16"
"MC4DN22","COX16"
"hCOX16","COX16"
"COX17","COX17"
"COX18","COX18"
"COX18HS","COX18"
"OXA1L2","COX18"
"COX20","COX20"
"FAM36A","COX20"
"MC4DN11","COX20"
"COX5A","COX5A"
"COX","COX8A"
"COX-VA","COX5A"
"MC4DN20","COX5A"
"VA","COX5A"
"COX5B","COX5B"
"COXVB","COX5B"
"COX8A","COX8A"
"COX8","COX8A"
"COX8-2","COX8A"
"COX8L","COX8A"
"MC4DN15","COX8A"
"VIII","COX8A"
"VIII-L","COX8A"
"CPT1A","CPT1A"
"CPT1-L","CPT1A"
"L-CPT1","CPT1A"
"CPT2","CPT2"
"CPTASE","CPT2"
"IIAE4","CPT2"
"CRY1","CRY1"
"DSPD","CRY1"
"PHLL1","CRY1"
"CYB5B","CYB5B"
"CYB5-M","CYB5B"
"CYPB5M","CYB5B"
"OMB5","CYB5B"
"CYCS","CYCS"
"CYC","CYCS"
"HCS","CYCS"
"THC4","CYCS"
"DCXR","DCXR"
"DCR","DCXR"
"HCR2","DCXR"
"HCRII","DCXR"
"KIDCR","DCXR"
"P34H","DCXR"
"PNTSU","DCXR"
"SDR20C1","DCXR"
"XR","DCXR"
"DDX28","DDX28"
"MDDX28","DDX28"
"DECR1","DECR1"
"DECR","DECR1"
"NADPH","DECR1"
"SDR18C1","DECR1"
"DELE1","DELE1"
"DELE","DELE1"
"DELE1(L)","DELE1"
"KIAA0141","DELE1"
"DGUOK","DGUOK"
"MTDPS3","DGUOK"
"NCPH","DGUOK"
"NCPH1","DGUOK"
"PEOB4","DGUOK"
"dGK","DGUOK"
"QDPR","QDPR"
"DHPR","QDPR"
"HDHPR","QDPR"
"PKU2","QDPR"
"SDR33C1","QDPR"
"DHRS4","DHRS4"
"CR","DHRS4"
"NRDR","DHRS4"
"PHCR","DHRS4"
"PSCD","DHRS4"
"SCAD-SRL","DHRS4"
"SDR-SRL","DHRS4"
"SDR25C1","DHRS4"
"SDR25C2","DHRS4"
"DHX30","DHX30"
"DDX30","DHX30"
"NEDMIAL","DHX30"
"RETCOR","DHX30"
"SLC25A10","SLC25A10"
"DIC","SLC25A10"
"MTDPS19","SLC25A10"
"DLD","LDHD"
"DLDD","DLD"
"DLDH","DLD"
"E3","DLD"
"GCSL","DLD"
"LAD","DLD"
"OGDC-E3","DLD"
"PHE3","DLD"
"DNM1L","DNM1L"
"DLP1","DNM1L"
"DRP1","DNM1L"
"DVLP","DNM1L"
"DYMPLE","DNM1L"
"EMPF","DNM1L"
"EMPF1","DNM1L"
"HDYNIV","DNM1L"
"OPA5","DNM1L"
"DMAC1","DMAC1"
"C9orf123","DMAC1"
"TMEM261","DMAC1"
"DUS2","DUS2"
"DUS2L","DUS2"
"SMM1","DUS2"
"URLC8","DUS2"
"ECH1","ECH1"
"HPXEL","ECH1"
"HADHA","HADHA"
"ECHA","HADHA"
"GBP","HADHA"
"HADH","HADH"
"LCEH","HADHA"
"LCHAD","HADHA"
"MTPA","HADHA"
"TP-ALPHA","HADHA"
"HADHB","HADHB"
"ECHB","HADHB"
"MSTP029","HADHB"
"MTPB","HADHB"
"MTPD","HADHB"
"MTPD2","HADHB"
"TP-BETA","HADHB"
"ECI1","ECI1"
"DCI","ECI1"
"ECI2","ECI2"
"ACBD2","ECI2"
"DRS-1","ECI2"
"DRS1","ECI2"
"HCA88","ECI2"
"PECI","ECI2"
"dJ1013A10.3","ECI2"
"ECSIT","ECSIT"
"SITPEC","ECSIT"
"GFM1","GFM1"
"COXPD1","GFM1"
"EFG","GFM1"
"EFG1","GFM1"
"EFGM","GFM1"
"EGF1","GFM1"
"GFM","GFM1"
"hEFG1","GFM1"
"mtEF-G1","GFM1"
"EFHD1","EFHD1"
"MST133","EFHD1"
"MSTP133","EFHD1"
"PP3051","EFHD1"
"SWS2","EFHD1"
"TUFM","TUFM"
"COXPD4","TUFM"
"EF-TuMT","TUFM"
"EFTU","TUFM"
"P43","TUFM"
"SMDT1","SMDT1"
"C22orf32","SMDT1"
"DDDD","SMDT1"
"EMRE","SMDT1"
"ERAL1","ERAL1"
"CEGA","ERAL1"
"ERA","ERAL1"
"ERA-W","ERAL1"
"ERAL1A","ERAL1"
"ERAL1B","ERAL1"
"H-ERA","ERAL1"
"HERA-A","ERAL1"
"HERA-B","ERAL1"
"PRLTS6","ERAL1"
"ETFA","ETFA"
"EMA","ETFA"
"GA2","ETFA"
"MADD","ETFA"
"ETFB","ETFB"
"FP585","ETFB"
"ETHE1","ETHE1"
"HSCO","ETHE1"
"YF13H12","ETHE1"
"EXOG","EXOG"
"ENDOGL1","EXOG"
"ENDOGL2","EXOG"
"ENGL","EXOG"
"ENGL-a","EXOG"
"ENGL-b","EXOG"
"ENGLA","EXOG"
"ENGLB","EXOG"
"BRCA2","BRCA2"
"BRCC2","BRCA2"
"BROVCA2","BRCA2"
"FACD","BRCA2"
"FAD","BRCA2"
"FAD1","BRCA2"
"FANCD","BRCA2"
"FANCD1","BRCA2"
"GLM3","BRCA2"
"PNCA2","BRCA2"
"XRCC11","BRCA2"
"FAHD1","FAHD1"
"C16orf36","FAHD1"
"ODx","FAHD1"
"YISKL","FAHD1"
"FAS","FAS"
"ALPS1A","FAS"
"APO-1","FAS"
"APT1","FAS"
"CD95","FAS"
"FAS1","FAS"
"FASTM","FAS"
"TNFRSF6","FAS"
"FASTK","FASTK"
"FAST","FASTK"
"FDX2","FDX2"
"FDX1L","FDX2"
"MEOAL","FDX2"
"FHIT","FHIT"
"AP3Aase","FHIT"
"FRA3B","FHIT"
"FIS1","FIS1"
"CGI-135","FIS1"
"TTC11","FIS1"
"FKBP8","FKBP8"
"FKBP38","FKBP8"
"FKBPr38","FKBP8"
"FDPS","FDPS"
"FPPS","FDPS"
"FPS","FDPS"
"POROK9","FDPS"
"FXN","FXN"
"CyaY","FXN"
"FA","FXN"
"FARR","FXN"
"FRDA","FXN"
"X25","FXN"
"S100A4","S100A4"
"18A2","S100A4"
"42A","S100A4"
"CAPL","S100A4"
"FSP1","S100A4"
"MTS1","S100A4"
"P9KA","S100A4"
"PEL98","S100A4"
"GARS1","GARS1"
"DSMAV","GARS1"
"GARS","GARS1"
"GlyRS","GARS1"
"HMN5","GARS1"
"HMN5A","GARS1"
"HMND5","GARS1"
"SMAD1","GARS1"
"SMAJI","GARS1"
"GATB","GATB"
"COXPD41","GATB"
"HSPC199","GATB"
"PET112","GATB"
"PET112L","GATB"
"GATC","GATC"
"15E1.2","GATC"
"COXPD42","GATC"
"GBF1","PTGES2"
"ARF1GEF","GBF1"
"CMT2GG","GBF1"
"CMTDI2","GBF1"
"CMTDIA","GBF1"
"GCDH","GCDH"
"ACAD5","GCDH"
"GCD","GCDH"
"GCSH","GCSH"
"GCE","AMT"
"MMDS7","GCSH"
"NKH","AMT"
"GLDC","GLDC"
"GCE1","GLDC"
"GCSP","GLDC"
"HYGN1","GLDC"
"AMT","AMT"
"GCE2","AMT"
"GCST","AMT"
"GCVT","AMT"
"Gene","Gene"
"GHITM","GHITM"
"DERP2","GHITM"
"HSPC282","GHITM"
"MICS1","GHITM"
"My021","GHITM"
"PTD010","GHITM"
"TMBIM5","GHITM"
"HAGH","HAGH"
"GLO2","HAGH"
"GLO2D","HAGH"
"GLX2","HAGH"
"GLXII","HAGH"
"HAGH1","HAGH"
"GLOD4","GLOD4"
"C17orf25","GLOD4"
"CGI-150","GLOD4"
"HC6","GLOD4"
"HC71","GLOD4"
"GLRX2","GLRX2"
"CGI-133","GLRX2"
"GRX2","GLRX2"
"GLRX5","GLRX5"
"C14orf87","GLRX5"
"FLB4739","GLRX5"
"GRX5","GLRX5"
"PR01238","GLRX5"
"PRO1238","GLRX5"
"PRSA","GLRX5"
"SIDBA3","GLRX5"
"SPAHGC","GLRX5"
"GPAM","GPAM"
"GPAT","GPAM"
"GPAT1","GPAM"
"GPD2","GPD2"
"GDH2","GPD2"
"GPDM","GPD2"
"mGDH","GPD2"
"mGPDH","GPD2"
"GPX1","GPX1"
"GPXD","GPX1"
"GSHPX1","GPX1"
"GPX4","GPX4"
"GPx-4","GPX4"
"GSHPx-4","GPX4"
"MCSP","GPX4"
"PHGPx","GPX4"
"SMDS","GPX4"
"snGPx","GPX4"
"snPHGPx","GPX4"
"GRHPR","GRHPR"
"GLXR","GRHPR"
"GLYD","GRHPR"
"PH2","GRHPR"
"HSPA9","HSPA9"
"CRP40","HSPA9"
"CSA","HSPA9"
"EVPLS","HSPA9"
"GRP-75","HSPA9"
"GRP75","HSPA9"
"HEL-S-124m","HSPA9"
"HSPA9B","HSPA9"
"MOT","HSPA9"
"MOT2","HSPA9"
"MTHSP75","HSPA9"
"PBP74","HSPA9"
"SAAN","HSPA9"
"SIDBA4","HSPA9"
"GRSF1","GRSF1"
"GSTK1","GSTK1"
"GST","GSTK1"
"GST 13-13","GSTK1"
"GST13","GSTK1"
"GST13-13","GSTK1"
"GSTK1-1","GSTK1"
"hGSTK1","GSTK1"
"GUF1","GUF1"
"DEE40","GUF1"
"EF-4","GUF1"
"EF4","GUF1"
"EIEE40","GUF1"
"HSD17B10","HSD17B10"
"17b-HSD10","HSD17B10"
"ABAD","HSD17B10"
"CAMR","HSD17B10"
"DUPXp11.22","HSD17B10"
"ERAB","HSD17B10"
"HADH2","HSD17B10"
"HCD2","HSD17B10"
"HSD10MD","HSD17B10"
"MHBD","HSD17B10"
"MRPP2","HSD17B10"
"MRX17","HSD17B10"
"MRX31","HSD17B10"
"MRXS10","HSD17B10"
"SCHAD","HADH"
"SDR5C1","HSD17B10"
"HAD","HADH"
"HADH1","HADH"
"HADHSC","HADH"
"HCDH","HADH"
"HHF4","HADH"
"MSCHAD","HADH"
"HDHD5","HDHD5"
"CECR5","HDHD5"
"NFE2L2","NFE2L2"
"HEBP1","NFE2L2"
"IMDDHH","NFE2L2"
"NRF2","NFE2L2"
"Nrf-2","NFE2L2"
"HEMK1","HEMK1"
"HEMK","HEMK1"
"MPRMC","HEMK1"
"MTQ1","HEMK1"
"HES1","HES1"
"HES-1","HES1"
"HHL","HES1"
"HRY","HES1"
"bHLHb39","HES1"
"HIBCH","HIBCH"
"HIBYLCOAH","HIBCH"
"HINT1","HINT1"
"HINT","HINT1"
"NMAN","HINT1"
"PKCI-1","HINT1"
"PRKCNH1","HINT1"
"HINT2","HINT2"
"HIT-17","HINT2"
"HINT3","HINT3"
"HINT4","HINT3"
"HMGCL","HMGCL"
"HL","HMGCL"
"HMGCL1","HMGCL"
"HOGA1","HOGA1"
"C10orf65","HOGA1"
"DHDPS2","HOGA1"
"DHDPSL","HOGA1"
"HP3","HOGA1"
"NPL2","HOGA1"
"ADHFE1","ADHFE1"
"ADH8","ADHFE1"
"HMFT2263","ADHFE1"
"HOT","ADHFE1"
"HSCB","HSCB"
"DNAJC20","HSCB"
"HSC20","HSCB"
"JAC1","HSCB"
"SIDBA5","HSCB"
"HSDL1","HSDL1"
"SDR12C3","HSDL1"
"HSDL2","HSDL2"
"C9orf99","HSDL2"
"SDR13C1","HSDL2"
"HTRA2","HTRA2"
"MGCA8","HTRA2"
"OMI","HTRA2"
"PARK13","HTRA2"
"PRSS25","HTRA2"
"MGARP","MGARP"
"C4orf49","MGARP"
"CESP-1","MGARP"
"HUMMR","MGARP"
"OSAP","MGARP"
"MRPL58","MRPL58"
"DS-1","MRPL58"
"DS1","MRPL58"
"ICT1","MRPL58"
"MRP-L58","MRPL58"
"mL62","MRPL58"
"IDE","IDE"
"INSULYSIN","IDE"
"IDH3A","IDH3A"
"RP90","IDH3A"
"IDH3B","IDH3B"
"RP46","IDH3B"
"IDH3G","IDH3G"
"H-IDHG","IDH3G"
"IDI1","IDI1"
"IPP1","IDI1"
"IPPI1","IDI1"
"ISCA1","ISCA1"
"HBLD2","ISCA1"
"ISA1","ISCA1"
"MMDS5","ISCA1"
"hIscA","ISCA1"
"hIscA1","ISCA1"
"ISCA2","ISCA2"
"HBLD1","ISCA2"
"ISA2","ISCA2"
"MMDS4","ISCA2"
"c14_5557","ISCA2"
"ISCU","ISCU"
"2310020H20Rik","ISCU"
"HML","ISCU"
"ISU2","ISCU"
"NIFU","ISCU"
"NIFUN","ISCU"
"hnifU","ISCU"
"IVD","IVD"
"ACAD2","IVD"
"IVDH","IVD"
"KYAT3","KYAT3"
"CCBL2","KYAT3"
"KAT3","KYAT3"
"KATIII","KYAT3"
"GCAT","GCAT"
"KBL","GCAT"
"SLC25A30","SLC25A30"
"KMCP1","SLC25A30"
"LACTB","LACTB"
"G24","LACTB"
"MRPL56","LACTB"
"LDHB","LDHB"
"HEL-S-281","LDHB"
"LDH-B","LDHB"
"LDH-H","LDHB"
"LDHBD","LDHB"
"TRG-5","LDHB"
"LDHD","LDHD"
"DLACD","LDHD"
"LIAS","LIAS"
"HGCLAS","LIAS"
"HUSSY-01","LIAS"
"LAS","LIAS"
"LIP1","LIAS"
"LS","LIAS"
"PDHLD","LIAS"
"LIPT2","LIPT2"
"LYRM1","LYRM1"
"A211C6.1","LYRM1"
"LYRM2","LYRM2"
"DJ122O8.2","LYRM2"
"LYRM4","LYRM4"
"C6orf149","LYRM4"
"CGI-203","LYRM4"
"COXPD19","LYRM4"
"ISD11","LYRM4"
"LYRM7","LYRM7"
"C5orf31","LYRM7"
"MC3DN8","LYRM7"
"MZM1L","LYRM7"
"LYRM9","LYRM9"
"C17orf108","LYRM9"
"HSD24","LYRM9"
"GSTZ1","GSTZ1"
"GSTZ1-1","GSTZ1"
"MAAI","GSTZ1"
"MAAID","GSTZ1"
"MAI","GSTZ1"
"MAIP1","MAIP1"
"C2orf47","MAIP1"
"MTARC2","MTARC2"
"MARC2","MTARC2"
"MOSC2","MTARC2"
"MAVS","MAVS"
"CARDIF","MAVS"
"IPS-1","MAVS"
"IPS1","MAVS"
"VISA","MAVS"
"MCAT","MCAT"
"FASN2C","MCAT"
"MCT","MCAT"
"MCT1","MCAT"
"MT","MCAT"
"NET62","MCAT"
"OPA15","MCAT"
"fabD","MCAT"
"MCCC1","MCCC1"
"MCC-B","MCCC1"
"MCCA","MCCC1"
"MCCCalpha","MCCC1"
"MCCC2","MCCC2"
"MCCB","MCCC2"
"MCCCbeta","MCCC2"
"MCL1","MCL1"
"BCL2L3","MCL1"
"EAT","MCL1"
"MCL1-ES","MCL1"
"MCL1L","MCL1"
"MCL1S","MCL1"
"Mcl-1","MCL1"
"TM","MCL1"
"bcl2-L-3","MCL1"
"mcl1/EAT","MCL1"
"MCUB","MCUB"
"CCDC109B","MCUB"
"MCUR1","MCUR1"
"C6orf79","MCUR1"
"CCDC90A","MCUR1"
"FMP32","MCUR1"
"MECR","MECR"
"CGI-63","MECR"
"DYTOABG","MECR"
"ETR1","MECR"
"FASN2B","MECR"
"NRBF1","MECR"
"OPA16","MECR"
"MFF","MFF"
"C2orf33","MFF"
"EMPF2","MFF"
"GL004","MFF"
"MFN1","MFN1"
"hfzo1","MFN1"
"hfzo2","MFN1"
"MFN2","MFN2"
"CMT2A","MFN2"
"CMT2A2","MFN2"
"CMT2A2A","MFN2"
"CMT2A2B","MFN2"
"CPRP1","MFN2"
"HMSN6A","MFN2"
"HSG","MFN2"
"MARF","MFN2"
"MSL","MFN2"
"SLC25A28","SLC25A28"
"MFRN2","SLC25A28"
"MRS3/4","SLC25A28"
"MRS4L","SLC25A28"
"NPD016","SLC25A28"
"SLC25A32","SLC25A32"
"GLYB","SLC25A32"
"MFT","SLC25A32"
"MFTC","SLC25A32"
"RREI","SLC25A32"
"MGME1","MGME1"
"C20orf72","MGME1"
"DDK1","MGME1"
"MTDPS11","MGME1"
"bA504H3.4","MGME1"
"MGST1","MGST1"
"GST12","MGST1"
"MGST","MGST1"
"MGST-I","MGST1"
"PMAN","MGST1"
"MGST3","MGST3"
"GST-3","MGST3"
"GST-III","MGST3"
"CHCHD4","CHCHD4"
"MIA40","CHCHD4"
"TIMM40","CHCHD4"
"MICOS13","MICOS13"
"C19orf70","MICOS13"
"MIC12","MICOS13"
"MIC13","MICOS13"
"P117","MICOS13"
"QIL1","MICOS13"
"APOO","APOO"
"FAM121B","APOO"
"MIC26","APOO"
"MICOS26","APOO"
"Mic23","APOO"
"My025","APOO"
"MICU1","MICU1"
"CALC","MICU1"
"CBARA1","MICU1"
"EFHA3","MICU1"
"MPXPS","MICU1"
"ara CALC","MICU1"
"MIEF2","MIEF2"
"COXPD49","MIEF2"
"D3B","MIEF2"
"MID49","MIEF2"
"SMCR7","MIEF2"
"MIEF1","MIEF1"
"AltMIEF1","MIEF1"
"D3A","MIEF1"
"HSU79252","MIEF1"
"L0R8F8","MIEF1"
"MID51","MIEF1"
"MIEF1-MP","MIEF1"
"OPA14","MIEF1"
"SMCR7L","MIEF1"
"dJ1104E15.3","MIEF1"
"MIPEP","MIPEP"
"COXPD31","MIPEP"
"HMIP","MIPEP"
"MIP","MIPEP"
"RHOT1","RHOT1"
"ARHT1","RHOT1"
"MIRO-1","RHOT1"
"MIRO1","RHOT1"
"CCDC51","CCDC51"
"MITOK","CCDC51"
"MMAA","MMAA"
"cblA","MMAA"
"MMAB","MMAB"
"ATR","MMAB"
"CFAP23","MMAB"
"cblB","MMAB"
"cob","MMAB"
"MPC1","MPC1"
"BRP44L","MPC1"
"CGI-129","MPC1"
"MPYCD","MPC1"
"SLC54A1","MPC1"
"MPC2","MPC2"
"BRP44","MPC2"
"SLC54A2","MPC2"
"PMPCB","PMPCB"
"Beta-MPP","PMPCB"
"MAS1","PMPCB"
